,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
368,Jalen Brunson,NYK,28,4,3,1,90.6,86,28,49,57.1,7,16,43.8
369,Josh Hart,NYK,30,4,3,1,89.9,2,1,6,16.7,0,5,0
370,Karl-Anthony Towns,NYK,29,4,3,1,102.1,73,21,56,37.5,4,23,17.4
371,Landry Shamet,NYK,28,4,4,0,88.3,43,15,42,35.7,9,30,30
372,MarJon Beauchamp,NYK,24,4,1,3,52,17,7,18,38.9,0,4,0
373,Mikal Bridges,NYK,28,4,3,1,105.7,43,16,39,41,2,19,10.5
374,Miles McBride,NYK,24,3,3,0,84,52,18,48,37.5,10,27,37
375,OG Anunoby,NYK,27,4,3,1,96,42,13,32,40.6,5,16,31.3
376,Pacôme Dadiet,NYK,19,2,1,1,45.1,26,10,18,55.6,5,9,55.6
377,Precious Achiuwa,NYK,25,5,4,1,123.1,47,19,41,46.3,3,6,50
378,T.J. Warren,NYK,31,3,2,1,29.6,17,5,8,62.5,1,4,25
379,Tyler Kolek,NYK,24,4,3,1,72.1,46,14,29,48.3,6,17,35.3
380,Aaron Wiggins,OKC,26,4,3,1,79.8,33,14,29,48.3,3,11,27.3
381,Adam Flagler,OKC,25,5,4,1,87.1,39,14,36,38.9,9,24,37.5
382,Ajay Mitchell,OKC,23,4,3,1,83.4,46,20,38,52.6,2,12,16.7
383,Alex Caruso,OKC,31,4,3,1,65.9,19,8,15,53.3,1,6,16.7
384,Alex Ducas,OKC,24,5,4,1,80.4,29,11,28,39.3,5,18,27.8
385,Branden Carlson,OKC,26,4,2,2,21.3,7,2,7,28.6,1,5,20
386,Cason Wallace,OKC,21,4,3,1,89.7,27,12,28,42.9,3,13,23.1
387,Chet Holmgren,OKC,23,4,3,1,60.3,43,15,30,50,3,8,37.5
388,Cormac Ryan,OKC,26,3,2,1,30.8,15,6,12,50,3,6,50
389,Dillon Jones,OKC,23,5,4,1,117.6,56,22,46,47.8,7,15,46.7
390,Isaiah Hartenstein,OKC,27,3,2,1,53.6,21,8,15,53.3,0,1,0
391,Isaiah Joe,OKC,25,4,3,1,69.8,44,17,41,41.5,10,30,33.3
392,Jalen Williams,OKC,24,4,3,1,66.7,58,23,42,54.8,9,17,52.9
393,Luguentz Dort,OKC,26,3,2,1,57.4,15,6,13,46.2,1,5,20
394,Malevy Leons,OKC,25,4,3,1,53.8,20,9,13,69.2,0,1,0
