,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
560,Jaylen Martin,WAS,21,3,1,2,32.3,20,9,15,60,1,2,50
561,Jaylen Nowell,WAS,25,1,0,1,3.6,1,0,0,0,0,0,0
562,Johnny Davis,WAS,23,5,2,3,70.1,26,8,19,42.1,1,5,20
563,Jordan Poole,WAS,26,5,2,3,109.6,58,21,50,42,7,27,25.9
564,Justin Champagnie,WAS,24,4,1,3,58.2,22,7,15,46.7,1,5,20
565,Kira Lewis Jr.,WAS,24,1,1,0,4.2,0,0,1,0,0,1,0
566,Kyshawn George,WAS,21,5,2,3,104,43,16,30,53.3,9,20,45
567,Marcus Smart,WAS,31,3,1,2,60.6,15,3,9,33.3,1,4,25
568,Richaun Holmes,WAS,31,3,1,2,29.2,12,5,8,62.5,0,0,0
569,Taylor Funk,WAS,27,2,1,1,18.6,11,4,11,36.4,3,10,30
570,Tristan Vukcevic,WAS,22,5,2,3,34.9,21,8,14,57.1,1,5,20
